price,quantity,type,timestamp
532.5,4168.2038,1,2022-05-21 23:37:12
532.6,124120.2356,1,2022-05-21 23:37:12
532.7,4800.4901,1,2022-05-21 23:37:12
532.0,188047.1905,0,2022-05-21 23:37:15
531.8,80299.0606,0,2022-05-21 23:37:15
531.7,1570.0036,0,2022-05-21 23:37:15
531.6,49085.2826,0,2022-05-21 23:37:15
531.5,74227.7194,0,2022-05-21 23:37:15
532.3,4037.2994,1,2022-05-21 23:37:15
532.4,41130.9471,1,2022-05-21 23:37:15
532.5,41691.6559,1,2022-05-21 23:37:15
532.6,124120.2356,1,2022-05-21 23:37:15
532.7,4800.4901,1,2022-05-21 23:37:15
532.0,187642.9607,0,2022-05-21 23:37:17
531.8,80299.0606,0,2022-05-21 23:37:17
531.7,1570.0036,0,2022-05-21 23:37:17
531.6,49085.2826,0,2022-05-21 23:37:17
531.5,74227.7194,0,2022-05-21 23:37:17
532.3,4037.2994,1,2022-05-21 23:37:17
532.4,41130.9471,1,2022-05-21 23:37:17
532.5,41691.6559,1,2022-05-21 23:37:17
532.6,124120.2356,1,2022-05-21 23:37:17
532.7,4800.4901,1,2022-05-21 23:37:17
532.0,189480.4721,0,2022-05-21 23:37:19
531.8,80299.0606,0,2022-05-21 23:37:19
531.7,1570.0036,0,2022-05-21 23:37:19
531.6,49085.2826,0,2022-05-21 23:37:19
531.5,74227.7194,0,2022-05-21 23:37:19
532.3,4037.2994,1,2022-05-21 23:37:19
532.4,41130.9471,1,2022-05-21 23:37:19
532.5,41691.6559,1,2022-05-21 23:37:19
532.6,124120.2356,1,2022-05-21 23:37:19
532.7,4800.4901,1,2022-05-21 23:37:19
532.0,189480.4721,0,2022-05-21 23:37:22
531.8,80299.0606,0,2022-05-21 23:37:22
531.7,1570.0036,0,2022-05-21 23:37:22
531.6,49085.2826,0,2022-05-21 23:37:22
531.5,74227.7194,0,2022-05-21 23:37:22
532.3,4037.2994,1,2022-05-21 23:37:22
532.4,41130.9471,1,2022-05-21 23:37:22
532.5,41691.6559,1,2022-05-21 23:37:22
532.6,124120.2356,1,2022-05-21 23:37:22
532.7,4800.4901,1,2022-05-21 23:37:22
532.0,189480.4721,0,2022-05-21 23:37:24
531.8,80299.0606,0,2022-05-21 23:37:24
531.7,1570.0036,0,2022-05-21 23:37:24
531.6,49085.2826,0,2022-05-21 23:37:24
531.5,74227.7194,0,2022-05-21 23:37:24
532.3,4037.2994,1,2022-05-21 23:37:24
532.4,41130.9471,1,2022-05-21 23:37:24
532.5,41691.6559,1,2022-05-21 23:37:24
532.6,124120.2356,1,2022-05-21 23:37:24
532.7,4800.4901,1,2022-05-21 23:37:24
532.0,189485.4577,0,2022-05-21 23:37:26
531.8,80299.0606,0,2022-05-21 23:37:26
531.7,1570.0036,0,2022-05-21 23:37:26
531.6,49085.2826,0,2022-05-21 23:37:26
531.5,74227.7194,0,2022-05-21 23:37:26
532.3,4037.2994,1,2022-05-21 23:37:26
532.4,41130.9471,1,2022-05-21 23:37:26
532.5,41691.6559,1,2022-05-21 23:37:26
532.6,124120.2356,1,2022-05-21 23:37:26
532.7,4800.4901,1,2022-05-21 23:37:26
532.0,189485.4577,0,2022-05-21 23:37:29
531.8,80299.0606,0,2022-05-21 23:37:29
531.7,1570.0036,0,2022-05-21 23:37:29
531.6,49085.2826,0,2022-05-21 23:37:29
531.5,74227.7194,0,2022-05-21 23:37:29
532.3,4037.2994,1,2022-05-21 23:37:29
532.4,41130.9471,1,2022-05-21 23:37:29
532.5,41691.6559,1,2022-05-21 23:37:29
532.6,124120.2356,1,2022-05-21 23:37:29
532.7,4800.4901,1,2022-05-21 23:37:29
532.0,189485.4577,0,2022-05-21 23:37:31
531.8,80299.0606,0,2022-05-21 23:37:31
531.7,1570.0036,0,2022-05-21 23:37:31
531.6,49085.2826,0,2022-05-21 23:37:31
531.5,74227.7194,0,2022-05-21 23:37:31
532.3,4037.2994,1,2022-05-21 23:37:31
532.4,41130.9471,1,2022-05-21 23:37:31
532.5,41691.6559,1,2022-05-21 23:37:31
532.6,124120.2356,1,2022-05-21 23:37:31
532.7,4800.4901,1,2022-05-21 23:37:31
532.0,189485.4577,0,2022-05-21 23:37:33
531.8,80299.0606,0,2022-05-21 23:37:33
531.7,1570.0036,0,2022-05-21 23:37:33
531.6,49085.2826,0,2022-05-21 23:37:33
531.5,74227.7194,0,2022-05-21 23:37:33
532.3,4037.2994,1,2022-05-21 23:37:33
532.4,41130.9471,1,2022-05-21 23:37:33
532.5,41691.6559,1,2022-05-21 23:37:33
532.6,124120.2356,1,2022-05-21 23:37:33
532.7,4800.4901,1,2022-05-21 23:37:33
532.0,189485.4577,0,2022-05-21 23:37:35
531.8,80445.9581,0,2022-05-21 23:37:35
531.7,1570.0036,0,2022-05-21 23:37:35
531.6,49085.2826,0,2022-05-21 23:37:35
531.5,74227.7194,0,2022-05-21 23:37:35
532.4,65596.443,1,2022-05-21 23:37:35
532.5,4024.5033,1,2022-05-21 23:37:35
532.6,124120.2356,1,2022-05-21 23:37:35
532.7,4800.4901,1,2022-05-21 23:37:35
532.8,61073.8924,1,2022-05-21 23:37:35
